"mun_name","mun_lat","mun_lon"
"bolzano","46.4981125","11.3547801"
"merano","46.6695547","11.1594185"
"bressanone","46.7165491","11.657851"
"laives","46.422819","11.3347713"
"brunico","46.7963194","11.9355121"
"appiano sulla strada del vino","46.4553328","11.2590488"
"lana","46.6160189","11.1448586"
"caldaro sulla strada del vino","46.4132594","11.2462025"
"renon","46.5629355","11.441434954745159"
"sarentino","46.695258550000005","11.387379376463915"
"vipiteno","46.8963235","11.4319398"
"castelrotto","46.54753885","11.608297115541967"
"silandro","46.6280688","10.7734765"
"valle aurina","46.98829205","11.943646067399136"
"naturno","46.6498856","11.0041954"
"campo tures","46.9192363","11.9551824"
"egna","46.3169161","11.2725698"
"malles venosta","46.6879187","10.5465492"
"laces","46.6173435","10.8595388"
"chiusa","46.6399237","11.5663497"
"lagundo","46.6825194","11.1230691"
"ortisei","46.5752077","11.6721382"
"varna","46.7403856","11.6345693"
"racines","46.8801284","11.3760555"
"terlano","46.5293011","11.2486777"
"lasa","46.616614","10.700159"
"nova ponente","46.4139929","11.4251813"
"san lorenzo di sebato","46.7834543","11.9030709"
"salorno","46.2396083","11.2110749"
"ora","46.3465946","11.2986335"
"parcines","46.6838481","11.0735201"
"fiè allo sciliar","46.517598","11.5026136"
"prato allo stelvio","46.603767250000004","10.581909344023622"
"san leonardo in passiria","46.8118934","11.2471364"
"badia","46.610124","11.893487"
"termeno sulla strada del vino","46.3415121","11.2422716"
"cornedo all'isarco","46.4899125","11.4083882"
"dobbiaco","46.735425","12.2242801"
"vandoies","46.87603555","11.720903662110466"
"san candido","46.7328719","12.2791673"
"san martino in passiria","46.7839388","11.2267986"
"gais","46.8331565","11.9474837"
"naz-sciaves","46.7630738","11.67793465387931"
"valdaora","46.759829","12.030987"
"rio di pusteria","46.7959461","11.6668266"
"san genesio atesino","46.5350348","11.3313839"
"marebbe","46.64887905","12.02693829110203"
"val di vizze","46.948993099999996","11.577765059458857"
"scena","46.6900462","11.1865628"
"monguelfo-tesido","46.78114465","12.118921771523121"
"velturno","46.6686743","11.5984388"
"rasun-anterselva","46.83901515","12.111611301365008"
"ultimo","46.5119943","10.8994926932971"
"chienes","46.8093808","11.8408721"
"bronzolo","46.4042617","11.3200548"
"falzes","46.8119803","11.8840064"
"marlengo","46.6556318","11.1405342"
"campo di trens","46.85718665","11.508954610620332"
"laion","46.6092289","11.564263"
"selva di val gardena","46.55258755","11.766362186154542"
"funes","46.6451","11.6968408"
"tirolo","46.6911008","11.1542233"
"curon venosta","46.8037378","10.555045061582057"
"valle di casies","46.824096499999996","12.232500513786313"
"castelbello-ciardes","46.6221611","10.923998550347491"
"cortaccia sulla strada del vino","46.3134726","11.2235011"
"brennero","47.0037797","11.5045574"
"moso in passiria","46.8318323","11.1672933"
"nalles","46.5434871","11.2046272"
"santa cristina valgardena","46.5588749","11.7200359"
"tesimo","46.5638983","11.1694971"
"nova levante","46.430234","11.5389505"
"sesto","46.7027433","12.350544"
"postal","46.6075829","11.1933244"
"villandro","46.6329339","11.5401011"
"sluderno","46.6645383","10.5848173"
"terento","46.8288003","11.7760163"
"san martino in badia","46.6509279","11.841676782715789"
"gargazzone","46.5847807","11.2027298"
"barbiano","46.6032574","11.5198158"
"meltina","46.5863916","11.2561557"
"montagna","46.3308364","11.3046335"
"aldino","46.3686753","11.3543243"
"villabassa","46.7382384","12.1713018"
"san pancrazio","46.5865144","11.0863613"
"cermes","46.6346188","11.146564"
"luson","46.7464659","11.7610843"
"perca","46.7943067","11.982383"
"selva dei molini","46.8907465","11.8566601"
"la valle","46.6577188","11.9243258"
"corvara in badia","46.5495743","11.8740339"
"rifiano","46.7036399","11.1814431"
"magrè sulla strada del vino","46.2873885","11.2098464"
"senales","46.7277242","10.862756493024182"
"rodengo","46.7807747","11.6897571"
"stelvio","46.542438700000005","10.55782937377889"
"andriano","46.5176161","11.231373"
"trodena nel parco naturale","46.3221428","11.3498119"
"vadena","46.4139949","11.3050772"
"fortezza","46.7868474","11.61245"
"tires","46.4673482","11.52748"
"tubre","46.645612","10.464153"
"verano","46.6053657","11.2262711"
"glorenza","46.6714924","10.5539127"
